[0.54629947 0.32189335]
[0.35912852 0.71910019]
[0.46728198 0.77820851]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.45179386 0.61990012]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.38686564 0.69837362]
[0.46994003 0.70328641]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.37410146 0.60732404]
[0.46438973 0.55197361]
[0.81377607 0.27265152]
[0.78834793 0.22051741]
[0.81377607 0.27265152]
[0.78834793 0.22051741]
[0.81377607 0.27265152]
[0.78834793 0.22051741]
[0.81377607 0.27265152]
[0.78834793 0.22051741]
[0.48107864 0.2719361 ]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.32732794 0.36500892]
[0.41819533 0.29454603]
[0.31373214 0.3077819 ]
[0.40751559 0.23184396]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.32617514 0.25852809]
[0.43473906 0.19743481]
[0.19036785 0.36833965]
[0.43473906 0.19743481]
[0.31193624 0.34418187]
[0.41470079 0.2705826 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.31225344 0.30046146]
[0.40541717 0.2262546 ]
[0.86717663 0.61173391]
[0.86717664 0.61173389]
[0.86717663 0.6117339 ]
[0.86717663 0.61173391]
[0.79048289 0.65482948]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.79571245 0.72481581]
[0.78726251 0.70213458]
[0.78726287 0.70213404]
[0.78726603 0.70212932]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.68712099 0.49440692]
[0.7536695  0.43360072]
[0.74375016 0.74612882]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
